 ;Label;Area1;Mean1;Min1;Max1;IntDen1;RawIntDen1;Area2;Mean2;Min2;Max2;IntDen2;RawIntDen2;Area3;Mean3;Min3;Max3;IntDen3;RawIntDen3;Area4;Mean4;Min4;Max4;IntDen4;RawIntDen4;Area5;Mean5;Min5;Max5;IntDen5;RawIntDen5;Area6;Mean6;Min6;Max6;IntDen6;RawIntDen6;Area7;Mean7;Min7;Max7;IntDen7;RawIntDen7;Area8;Mean8;Min8;Max8;IntDen8;RawIntDen8;Area9;Mean9;Min9;Max9;IntDen9;RawIntDen9;Area10;Mean10;Min10;Max10;IntDen10;RawIntDen10;Area11;Mean11;Min11;Max11;IntDen11;RawIntDen11;Area12;Mean12;Min12;Max12;IntDen12;RawIntDen12;Area13;Mean13;Min13;Max13;IntDen13;RawIntDen13;Area14;Mean14;Min14;Max14;IntDen14;RawIntDen14
1;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.161.171;2073;2432;9.236;899047;0.003;2.128.847;2055;2214;5.577;542856;0.004;2.118.076;2058;2240;8.616;838758;0.003;2.300.488;2064;2572;7.562;736156;0.003;2.166.948;2032;2377;6.411;624081;0.003;2.246.823;2052;2456;7.571;736958;0.003;2.151.265;2060;2333;7.514;731430;0.004;2.219.447;2092;2472;9.485;923290;0.004;2.307.710;2115;2889;9.483;923084;0.004;2.216.381;2036;2544;9.563;930880;0.004;2.179.889;2042;2473;8.913;867596;0.006;2.233.511;2038;2661;13.239;1288736;0.005;2.191.288;2038;2484;12.043;1172339;0.002;2.107.633;2037;2370;5.196;505832
2;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.161.156;2073;2432;9.236;899041;0.003;2.128.929;2064;2212;5.577;542877;0.004;2.119.194;2056;2240;8.621;839201;0.003;2.307.312;2054;2608;7.585;738340;0.003;2.170.799;2035;2391;6.422;625190;0.003;2.250.860;2058;2436;7.584;738282;0.003;2.152.712;2070;2340;7.519;731922;0.004;2.224.627;2104;2472;9.507;925445;0.004;2.313.330;2118;2856;9.506;925332;0.004;2.216.124;2041;2555;9.562;930772;0.004;2.190.437;2040;2507;8.956;871794;0.006;2.235.811;2041;2690;13.253;1290063;0.005;2.190.649;2030;2472;12.040;1171997;0.002;2.107.179;2035;2336;5.195;505723
3;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.157.579;2070;2408;9.220;897553;0.003;2.127.267;2057;2209;5.573;542453;0.004;2.116.101;2048;2212;8.608;837976;0.003;2.300.506;2064;2565;7.562;736162;0.003;2.168.875;2032;2379;6.417;624636;0.003;2.247.811;2070;2459;7.574;737282;0.003;2.152.741;2064;2338;7.519;731932;0.004;2.224.005;2088;2469;9.504;925186;0.004;2.312.320;2115;2854;9.502;924928;0.004;2.213.579;2038;2528;9.551;929703;0.004;2.194.033;2042;2521;8.971;873225;0.006;2.233.066;2040;2666;13.236;1288479;0.005;2.187.949;2037;2444;12.025;1170553;0.002;2.105.938;2034;2356;5.192;505425
4;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.157.738;2069;2412;9.221;897619;0.003;2.125.169;2044;2205;5.567;541918;0.004;2.117.094;2052;2233;8.612;838369;0.003;2.300.606;2062;2564;7.563;736194;0.003;2.167.840;2036;2365;6.414;624338;0.003;2.247.015;2060;2444;7.571;737021;0.003;2.151.479;2069;2368;7.515;731503;0.004;2.221.438;2091;2440;9.493;924118;0.004;2.309.375;2131;2848;9.490;923750;0.004;2.211.614;2027;2556;9.542;928878;0.004;2.193.251;2048;2522;8.967;872914;0.006;2.231.770;2033;2664;13.229;1287731;0.005;2.185.295;2033;2464;12.010;1169133;0.002;2.104.904;2028;2350;5.190;505177
5;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.155.630;2061;2406;9.212;896742;0.003;2.127.129;2061;2214;5.572;542418;0.004;2.115.485;2062;2221;8.606;837732;0.003;2.297.472;2074;2560;7.553;735191;0.003;2.165.944;2032;2368;6.408;623792;0.003;2.244.738;2058;2432;7.564;736274;0.003;2.151.941;2070;2369;7.516;731660;0.004;2.221.613;2096;2464;9.494;924191;0.004;2.309.835;2117;2852;9.491;923934;0.004;2.209.950;2038;2524;9.535;928179;0.004;2.193.314;2044;2520;8.968;872939;0.006;2.231.244;2036;2675;13.226;1287428;0.005;2.185.475;2038;2435;12.011;1169229;0.002;2.104.408;2028;2317;5.188;505058
6;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.155.382;2064;2414;9.211;896639;0.003;2.125.565;2058;2213;5.568;542019;0.004;2.116.667;2056;2231;8.611;838200;0.003;2.295.753;2062;2563;7.547;734641;0.003;2.167.448;2038;2382;6.413;624225;0.003;2.245.643;2061;2438;7.567;736571;0.003;2.151.341;2072;2346;7.514;731456;0.004;2.220.769;2084;2448;9.490;923840;0.004;2.307.090;2130;2819;9.480;922836;0.004;2.208.624;2038;2529;9.529;927622;0.004;2.193.364;2038;2531;8.968;872959;0.006;2.229.945;2035;2674;13.218;1286678;0.005;2.185.166;2040;2448;12.010;1169064;0.002;2.105.012;2040;2352;5.190;505203
7;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.154.945;2058;2400;9.209;896457;0.003;2.125.145;2050;2221;5.567;541912;0.004;2.115.048;2050;2231;8.604;837559;0.003;2.294.122;2062;2574;7.541;734119;0.003;2.165.771;2032;2370;6.408;623742;0.003;2.243.908;2060;2444;7.561;736002;0.003;2.149.647;2066;2346;7.508;730880;0.004;2.219.089;2102;2448;9.483;923141;0.004;2.304.885;2116;2842;9.471;921954;0.004;2.208.017;2041;2531;9.527;927367;0.004;2.192.133;2036;2512;8.963;872469;0.006;2.229.967;2034;2662;13.218;1286691;0.005;2.184.552;2032;2464;12.006;1168735;0.002;2.104.333;2030;2361;5.188;505040
8;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.154.841;2068;2400;9.209;896414;0.003;2.124.204;2056;2204;5.565;541672;0.004;2.116.399;2048;2231;8.610;838094;0.003;2.293.709;2060;2568;7.540;733987;0.003;2.165.806;2036;2356;6.408;623752;0.003;2.243.912;2053;2456;7.561;736003;0.003;2.150.482;2062;2341;7.511;731164;0.004;2.220.101;2100;2465;9.488;923562;0.004;2.305.175;2114;2825;9.472;922070;0.004;2.205.707;2030;2546;9.517;926397;0.004;2.193.462;2030;2528;8.968;872998;0.006;2.229.206;2036;2643;13.213;1286252;0.005;2.184.735;2036;2466;12.007;1168833;0.002;2.103.663;2036;2338;5.187;504879
9;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.153.392;2072;2410;9.203;895811;0.003;2.123.224;2054;2209;5.562;541422;0.004;2.115.364;2057;2236;8.605;837684;0.003;2.289.634;2060;2552;7.527;732683;0.003;2.166.101;2037;2380;6.409;623837;0.003;2.241.692;2044;2423;7.553;735275;0.003;2.148.218;2065;2320;7.503;730394;0.004;2.217.449;2099;2464;9.476;922459;0.004;2.304.502;2122;2840;9.470;921801;0.004;2.203.936;2036;2513;9.509;925653;0.004;2.192.756;2042;2536;8.965;872717;0.006;2.227.832;2033;2656;13.205;1285459;0.005;2.182.527;2045;2458;11.995;1167652;0.002;2.104.058;2034;2334;5.188;504974
10;15DIV_double-sequential-Ifenprodil1_w1Channel-B.tif;0.004;2.151.202;2056;2400;9.193;894900;0.003;2.123.129;2060;2208;5.562;541398;0.004;2.113.376;2044;2244;8.597;836897;0.003;2.288.753;2063;2544;7.524;732401;0.003;2.164.604;2035;2373;6.404;623406;0.003;2.240.384;2058;2432;7.549;734846;0.003;2.148.800;2064;2343;7.505;730592;0.004;2.216.966;2089;2450;9.474;922258;0.004;2.303.397;2117;2852;9.465;921359;0.004;2.204.262;2036;2500;9.510;925790;0.004;2.193.261;2036;2522;8.967;872918;0.006;2.227.565;2036;2682;13.204;1285305;0.005;2.181.921;2044;2448;11.992;1167328;0.002;2.103.575;2038;2337;5.186;504858
