condition,mouse,FOV,day,sample_id,source_file,roi_index,roi_label,roi_x,roi_y,n_frames,mean_signal,std_signal,min_signal,max_signal,baseline_center,threshold,n_events,mean_event_duration,max_event_duration,mean_event_amplitude,max_event_amplitude,auc_above_baseline,peak_frame,peak_value,global_slope,Cluster,PCA1,PCA2,UMAP1,UMAP2
inh,U865,Reg02_z181,d1,inh_U865_Reg02_z181_d1,data_d1.mat,37,ROI37,186.0,687.0,2088,0.19158060365304033,0.10664399004343807,-0.032797949811227384,0.636404468268169,0.17757240580252112,0.4269592150234552,14,5.428571428571429,12.0,0.3270980534303692,0.4588320624656479,97.34080250359969,11.0,0.636404468268169,1.0657105181762447e-05,0,-0.073344976,0.14518854,8.478589,3.4544256
sham,U146,Reg03_z235,d15,sham_U146_Reg03_z235_d15,data_d15.mat,255,ROI255,168.0,684.0,2088,0.08590692099374486,0.08262300975994612,-0.041888677942941696,0.9888536008496666,0.08529872000402468,0.20551533269035246,7,8.571428571428571,24.0,0.3214535219615963,0.9035548808456418,30.147236117405782,794.0,0.9888536008496666,-2.4692374288869226e-05,0,-0.21404344,-0.235143,4.7856407,0.55398357
resp,T650,Reg02_z176,d23,resp_T650_Reg02_z176_d23,data_d23.mat,71,ROI71,114.0,734.0,2088,0.24990547185848347,0.23933304160192323,-0.013748011622888759,1.9596500866059352,0.1406550732488957,0.36203133972267687,24,10.333333333333334,35.0,0.6965438865634255,1.8189950133570396,192.72998833371707,1513.0,1.9596500866059352,5.9662458457393304e-05,1,0.17471087,-0.77409273,12.151002,1.1719933
sham,U411,Reg02_z174,d7,sham_U411_Reg02_z174_d7,data_d7.mat,165,ROI165,324.0,20.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-9.043095,16.25503
sham,V529,Reg01_z137,d11,sham_V529_Reg01_z137_d11,data_d11.mat,357,ROI357,919.0,293.0,2088,0.3192691547135781,0.13866815344826966,0.1130566620306644,1.05094281425362,0.3297921415059809,0.5410341054693425,2,7.5,8.0,0.513771606579283,0.721150672747639,10.888306975943811,1.0,1.05094281425362,-0.000676765450064688,0,-0.024443967,0.42192295,5.496754,7.4396253
inh,U411,Reg03_z147,d11,inh_U411_Reg03_z147_d11,data_d11.mat,9,ROI9,868.0,622.0,2088,0.45558157094898694,0.6555033345258805,-0.06272351252453215,4.668954730668884,0.36376908237517325,1.2255197958354138,18,10.444444444444445,22.0,2.0442696697490996,4.305185648293711,477.4312625787289,762.0,4.668954730668884,-4.176904746735069e-05,1,0.7871429,-0.29401457,9.432153,5.2153716
resp,T476,Reg01_z196,d13,resp_T476_Reg01_z196_d13,data_d13.mat,12,ROI12,710.0,719.0,2088,0.11278864517642621,0.06912967743618267,-0.0771991060773998,0.4080259023452605,0.09899692004142371,0.2019100031040282,18,9.166666666666666,42.0,0.1957349982605854,0.3090289823038368,66.81819606182634,433.0,0.4080259023452605,-1.491796192653903e-05,1,-0.1409423,-0.79296845,11.665088,1.6879555
sham,U411,Reg01_z135,d5,sham_U411_Reg01_z135_d5,data_d5.mat,51,ROI51,801.0,576.0,2088,0.2570105336843133,0.16091223240801927,-0.01768659201972341,0.8021946823911016,0.2144090056955649,0.5624978407442047,5,6.6,11.0,0.47459149133256046,0.5877856766955367,43.93608326038249,482.0,0.8021946823911016,1.289608933644722e-05,0,-0.04526502,0.30086213,4.72979,6.3241563
resp,T650,Reg01_z198,d5,resp_T650_Reg01_z198_d5,data_d5.mat,299,ROI299,944.0,51.0,2088,0.26438243568588854,0.1324761756983904,-0.01687085124470209,0.7869491698971872,0.20773436009262242,0.4420072144153224,28,7.428571428571429,20.0,0.3994428261783404,0.5792148098045649,162.2046984526966,1380.0,0.7869491698971872,1.0258138425949606e-05,1,0.091851205,-0.36010078,12.825032,0.13774504
resp,T476,Reg01_z134,d11,resp_T476_Reg01_z134_d11,data_d11.mat,67,ROI67,402.0,37.0,2088,0.1496534994937699,0.0723400167366732,-0.010749039659664367,0.5839921656677748,0.17187608413624517,0.35981292396077613,5,7.4,10.0,0.3525218535392702,0.4121160815315296,26.42791089305774,44.0,0.5839921656677748,-3.7531123846563495e-05,0,-0.18322217,0.18883497,2.6940024,3.5403805
inh,U480,Reg01_z130,d7,inh_U480_Reg01_z130_d7,data_d7.mat,158,ROI158,170.0,710.0,2088,0.16804311638907868,0.09084559655837814,-0.08346975967942782,0.5471685465228548,0.14953946527092893,0.30939855973609953,12,8.75,25.0,0.24499402626033137,0.3976290812519259,74.38887019880264,1359.0,0.5471685465228548,3.3600081607846244e-05,1,-0.10060336,-0.30579618,7.228735,0.1886093
unresp,U664,Reg01_z256,d15,unresp_U664_Reg01_z256_d15,data_d15.mat,115,ROI115,837.0,816.0,2088,0.23881840575733607,0.20487133676313893,-0.052396558446816364,1.424277532690988,0.5217491094091521,1.479608576162475,0,,,,,38.262839887399984,81.0,1.424277532690988,-0.00012436159157829218,2,-0.005640574,0.3159638,9.434669,8.360329
unresp,U861,Reg01_z279,d1,unresp_U861_Reg01_z279_d1,data_d1.mat,188,ROI188,248.0,332.0,2088,0.21875556676891827,0.19387976709186827,-0.08056363814607834,1.8453017618234366,0.25216592182420555,0.6466444837607728,4,18.75,41.0,1.0727467343984043,1.593135839999231,73.02201352487162,11.0,1.8453017618234366,-0.00013129804125064547,1,0.08755849,-1.1131797,5.249475,-1.6782656
unresp,V529,Reg03_z204,d15,unresp_V529_Reg03_z204_d15,data_d15.mat,203,ROI203,718.0,872.0,2088,0.20539676540942103,0.10559389773072062,0.03723565190538158,0.6133807371554699,0.17588525478355,0.31463111569226154,6,12.166666666666666,25.0,0.3027842175735233,0.43749548237191993,31.980273394873844,417.0,0.6133807371554699,0.00011688754768472165,0,-0.090437934,-0.40070888,4.833884,-0.45327315
sham,U411,Reg02_z174,d7,sham_U411_Reg02_z174_d7,data_d7.mat,190,ROI190,186.0,9.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,0.80648965,29.281288
resp,U146,Reg03_z158,d3,resp_U146_Reg03_z158_d3,data_d3.mat,212,ROI212,982.0,5.0,2088,,,,,,,0,,,,,,,,,0,-0.15484765,0.24115185,-4.075076,27.226208
inh,U480,Reg01_z130,d11,inh_U480_Reg01_z130_d11,data_d11.mat,194,ROI194,681.0,435.0,2088,0.17644406349666458,0.09348220179193639,0.044230626877867704,0.6053198867909793,0.15037791214301016,0.26344692398231406,3,7.333333333333333,10.0,0.2654619806235908,0.4549419746479691,7.697926700727251,113.0,0.6053198867909793,0.00023943791159411135,0,-0.18052852,0.2532855,1.140664,3.8660808
resp,U194,Reg01_z154,d7,resp_U194_Reg01_z154_d7,data_d7.mat,181,ROI181,351.0,846.0,2088,0.2514255348141395,0.1600991179147323,0.02005021829252885,0.9450708791820083,0.18030039476808776,0.5356829403795894,16,5.125,7.0,0.5346820855614293,0.7647704844139205,151.81453596177914,849.0,0.9450708791820083,2.4947122415519172e-05,0,0.046318993,0.2539482,8.984479,3.137968
inh,U865,Reg02_z181,d5,inh_U865_Reg02_z181_d5,data_d5.mat,29,ROI29,379.0,648.0,2088,0.1658131387467667,0.14809726523681632,-0.21054422719778682,2.0262826653620145,0.1618659429264832,0.36832514988549175,11,8.0,16.0,0.568262865056434,1.8644167224355312,80.83919251803816,1255.0,2.0262826653620145,-1.784994964148653e-05,0,-0.052583694,-0.0743118,6.6641755,2.194396
