Frame,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11
1,0.40568678447541356,0.0,0.07842668474439672,7.686773515960793,0.1641079889172824,0.0038798558898999057,0.36875088535548683,0.08660025017659051,0.2911088514790577,,0.08905630952554955
2,0.5356689879226223,-0.10126311329671243,0.05954420485311045,5.9554537668763725,,,0.40408501063601726,0.28602056420555844,0.20597616772026436,,0.08785261968915767
3,0.30263621673179486,-0.004531429115064486,0.26376127038924885,4.645195473126299,0.5202956922708744,0.7300988106382219,0.00845643656993181,0.1548070027805325,0.22572810588949627,,
4,0.17808495984120068,0.20495700965106595,0.3081562626901871,4.239651231370628,0.052851080559994754,0.041840377031462164,0.07737831709536054,0.1709490308475241,0.1458258086302407,,0.20395657060075523
5,0.19781375039940213,0.24739530821606728,0.16421524368718218,3.146096454874552,,,-0.06048339826258808,0.08595058381844502,0.20069492824441623,,
6,0.010190848970367818,1.9093931558855328,0.22042365191308375,2.5761629502695538,,,0.0680820744443576,0.05127741903737899,0.19031672087131937,,
7,0.44055423383640613,3.345241491504635,0.0928731918891071,1.9416050347296123,,0.09649788132196956,0.12076157550059281,0.15276414526840382,0.0827938910099574,0.46894516894676147,0.2799159759583252
8,0.22246374563616558,4.191287981724947,-0.003785280922860051,1.755454751576667,0.23498645835871826,0.009889509693282039,0.25152878272504015,0.0903059119744609,0.045913148302185604,,
9,0.37882447632711297,4.739704936935754,0.20109169734914897,1.6383313002621955,0.10424507776700193,,0.13558273054541153,0.11592186258869805,0.08794558213886627,,0.16654828115274914
10,0.21573266707160318,4.926550399681331,0.09021916033862105,1.2965852685265595,,0.15690074471508264,0.36157452997422174,-0.23398804593353487,0.1133275594420588,,0.04302056934249015
11,0.9612567057781255,4.405697990917141,0.5134742173556,0.9322343037329769,0.5854202791819567,-0.06583692052209143,0.26108993034640066,0.3297869850575339,0.13120289415468747,,0.36205855555183963
12,-0.05778359956039717,3.8389358784960774,0.13961166861832605,0.9368515927043851,,-0.1700274296845406,0.09319370524824992,0.021487271092761846,-0.1151079375140582,,
13,0.1224139125965868,3.536869965688835,0.03890770465973475,0.816539539406679,,,0.3079818085760307,0.1505875468690746,0.24412502273608536,,
14,-0.07266256714961931,4.344417952592806,0.17873892210175293,0.9920363990644608,,,0.024893222662312316,-0.0692673254462001,0.2637806425109501,,
15,-0.006701388263264359,4.694538749407726,0.1134602561239924,0.9840734079883727,0.15691935161194262,0.8112914914746694,0.562622307182918,-0.06054820519927523,0.19144789050844652,,0.4503329919037237
16,0.07274385213807295,5.120482680504844,0.04637839133534109,0.9093069868143259,,,0.1674425868551135,-0.19739783155840587,0.10654781410888417,0.6223422403414545,
17,0.12061658530798078,5.065220035059621,0.06490046332811451,0.3406773801564485,,0.031097980175759807,0.00811680015963701,-0.13259912292541598,0.1092093889963795,,
18,0.04725948202066067,4.618866554547793,0.21080497731040007,0.01711160926206331,,,0.22738586079298018,0.04805937299221952,-0.1407488991870483,,
