 ,Label,Area1,Mean1,Min1,Max1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,IntDen3,RawIntDen3,Area4,Mean4,Min4,Max4,IntDen4,RawIntDen4,Area5,Mean5,Min5,Max5,IntDen5,RawIntDen5,Area6,Mean6,Min6,Max6,IntDen6,RawIntDen6,Area7,Mean7,Min7,Max7,IntDen7,RawIntDen7,Area8,Mean8,Min8,Max8,IntDen8,RawIntDen8
1,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2201.571,2070,2305,6.740,656068,0.003,2179.866,2059,2288,6.360,619082,0.003,2442.189,2248,2708,7.577,737541,0.004,2250.102,2145,2470,8.876,864039,0.004,2306.720,2155,2472,8.389,816579,0.003,2228.813,2124,2456,7.121,693161,0.003,2148.052,2070,2285,6.355,618639,0.003,2242.985,2129,2439,6.083,592148
2,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2197.510,2073,2312,6.727,654858,0.003,2177.845,2053,2280,6.354,618508,0.003,2439.954,2228,2690,7.570,736866,0.004,2248.427,2132,2470,8.870,863396,0.004,2305.989,2144,2456,8.386,816320,0.003,2227.830,2129,2461,7.118,692855,0.003,2145.771,2070,2307,6.348,617982,0.003,2242.121,2136,2418,6.081,591920
3,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2195.755,2064,2311,6.722,654335,0.003,2177.658,2056,2289,6.353,618455,0.003,2437.603,2222,2733,7.562,736156,0.004,2247.909,2152,2464,8.867,863197,0.004,2303.048,2152,2457,8.375,815279,0.003,2225.408,2121,2456,7.110,692102,0.003,2142.760,2064,2286,6.340,617115,0.003,2240.386,2124,2441,6.076,591462
4,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2194.027,2070,2323,6.717,653820,0.003,2173.349,2050,2283,6.341,617231,0.003,2436.722,2221,2703,7.560,735890,0.004,2246.065,2131,2458,8.860,862489,0.004,2300.576,2144,2456,8.366,814404,0.003,2225.167,2124,2459,7.109,692027,0.003,2140.972,2072,2282,6.334,616600,0.003,2239.648,2129,2424,6.074,591267
5,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2192.460,2080,2316,6.712,653353,0.003,2172.842,2048,2272,6.339,617087,0.003,2434.603,2220,2707,7.553,735250,0.004,2244.385,2152,2465,8.854,861844,0.004,2299.339,2144,2436,8.362,813966,0.003,2222.469,2117,2440,7.100,691188,0.003,2139.365,2068,2292,6.329,616137,0.003,2237.000,2117,2400,6.067,590568
6,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2192.272,2074,2322,6.711,653297,0.003,2175.169,2056,2285,6.346,617748,0.003,2429.371,2226,2713,7.537,733670,0.004,2244.909,2144,2464,8.856,862045,0.004,2298.175,2134,2441,8.358,813554,0.003,2223.614,2124,2468,7.104,691544,0.003,2138.167,2068,2288,6.326,615792,0.003,2236.489,2124,2432,6.065,590433
7,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2189.530,2072,2290,6.703,652480,0.003,2171.711,2054,2297,6.336,616766,0.003,2428.715,2234,2697,7.535,733472,0.004,2242.453,2144,2464,8.846,861102,0.004,2296.316,2144,2437,8.351,812896,0.003,2221.978,2124,2476,7.099,691035,0.003,2137.007,2070,2280,6.323,615458,0.003,2236.595,2124,2434,6.066,590461
8,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2188.356,2072,2294,6.699,652130,0.003,2171.158,2052,2273,6.334,616609,0.003,2423.397,2213,2673,7.518,731866,0.004,2241.060,2141,2432,8.840,860567,0.004,2295.288,2144,2452,8.347,812532,0.003,2220.498,2122,2438,7.094,690575,0.003,2138.194,2070,2257,6.326,615800,0.003,2234.773,2122,2409,6.061,589980
9,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2189.322,2069,2288,6.702,652418,0.003,2169.912,2053,2280,6.331,616255,0.003,2423.682,2209,2688,7.519,731952,0.004,2239.885,2146,2432,8.836,860116,0.004,2292.025,2128,2444,8.335,811377,0.003,2221.460,2126,2444,7.097,690874,0.003,2136.615,2061,2272,6.321,615345,0.003,2234.265,2132,2414,6.059,589846
10,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2188.671,2073,2304,6.700,652224,0.003,2168.975,2049,2290,6.328,615989,0.003,2420.824,2211,2664,7.510,731089,0.004,2240.852,2139,2475,8.840,860487,0.004,2291.305,2124,2429,8.333,811122,0.003,2218.929,2126,2436,7.089,690087,0.003,2135.035,2064,2256,6.317,614890,0.003,2233.288,2128,2397,6.057,589588
11,14DIV_GCamp-NLS-jRGECO1aASX162_w1Channel-B.stk,0.003,2188.044,2073,2292,6.698,652037,0.003,2168.155,2057,2272,6.326,615756,0.003,2418.848,2224,2678,7.504,730492,0.004,2238.630,2136,2464,8.831,859634,0.004,2291.525,2125,2440,8.333,811200,0.003,2218.961,2120,2440,7.089,690097,0.003,2134.809,2068,2265,6.316,614825,0.003,2232.485,2124,2412,6.055,589376
