 ,Label,Area1,Mean1,Min1,Max1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,IntDen3,RawIntDen3,Area4,Mean4,Min4,Max4,IntDen4,RawIntDen4,Area5,Mean5,Min5,Max5,IntDen5,RawIntDen5,Area6,Mean6,Min6,Max6,IntDen6,RawIntDen6,Area7,Mean7,Min7,Max7,IntDen7,RawIntDen7,Area8,Mean8,Min8,Max8,IntDen8,RawIntDen8
1,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2109.613,2052,2327,5.938,578034,0.002,2139.255,2056,2294,4.747,462079,0.003,2369.064,2053,2890,6.036,587528,0.003,2120.549,2020,2312,6.862,667973,0.003,2216.701,2064,2560,6.786,660577,0.004,2299.433,2181,2408,8.126,791005,0.003,2197.477,2075,2448,6.863,668033,0.005,2406.461,2055,3084,11.520,1121411
2,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2108.478,2048,2320,5.935,577723,0.002,2138.986,2070,2288,4.746,462021,0.003,2346.750,2036,2872,5.979,581994,0.003,2119.657,2029,2311,6.859,667692,0.003,2216.594,2062,2556,6.786,660545,0.004,2299.520,2176,2410,8.126,791035,0.003,2200.477,2072,2470,6.872,668945,0.005,2406.869,2042,3102,11.522,1121601
3,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2108.387,2042,2325,5.935,577698,0.002,2137.449,2054,2294,4.743,461689,0.003,2360.915,2048,2932,6.015,585507,0.003,2116.864,2025,2296,6.850,666812,0.003,2215.564,2068,2520,6.783,660238,0.004,2296.221,2160,2426,8.115,789900,0.003,2200.609,2069,2466,6.872,668985,0.005,2394.444,2035,3032,11.463,1115811
4,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2106.923,2048,2324,5.930,577297,0.002,2135.454,2053,2282,4.738,461258,0.003,2350.573,2042,2865,5.988,582942,0.003,2117.375,2024,2304,6.852,666973,0.003,2211.493,2062,2560,6.770,659025,0.004,2292.404,2171,2404,8.101,788587,0.003,2197.569,2075,2477,6.863,668061,0.005,2386.054,2048,3017,11.422,1111901
5,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2105.420,2050,2316,5.926,576885,0.002,2132.991,2058,2264,4.733,460726,0.003,2349.048,2040,2856,5.985,582564,0.003,2116.397,2028,2291,6.849,666665,0.003,2209.312,2052,2516,6.763,658375,0.004,2291.215,2176,2396,8.097,788178,0.003,2196.145,2080,2468,6.858,667628,0.005,2378.260,2041,3026,11.385,1108269
6,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2106.146,2036,2336,5.928,577084,0.002,2133.491,2052,2278,4.734,460834,0.003,2327.895,2043,2824,5.931,577318,0.003,2114.829,2026,2294,6.843,666171,0.003,2208.255,2064,2554,6.760,658060,0.004,2287.384,2161,2385,8.083,786860,0.003,2195.865,2072,2453,6.858,667543,0.005,2374.373,2032,3000,11.366,1106458
7,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2105.518,2044,2326,5.927,576912,0.002,2130.144,2049,2257,4.727,460111,0.003,2308.686,2052,2750,5.882,572554,0.003,2115.070,2024,2292,6.844,666247,0.003,2207.262,2059,2535,6.757,657764,0.004,2284.683,2176,2384,8.074,785931,0.003,2193.832,2073,2446,6.851,666925,0.005,2368.775,2043,3019,11.340,1103849
8,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2104.774,2042,2326,5.924,576708,0.002,2130.907,2060,2261,4.728,460276,0.003,2313.137,2049,2779,5.893,573658,0.003,2113.387,2016,2293,6.839,665717,0.003,2205.064,2064,2528,6.750,657109,0.004,2282.910,2169,2392,8.067,785321,0.003,2194.507,2080,2468,6.853,667130,0.005,2365.378,2043,2996,11.323,1102266
9,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2104.336,2048,2322,5.923,576588,0.002,2130.407,2052,2277,4.727,460168,0.003,2296.843,2045,2746,5.852,569617,0.003,2113.286,2018,2304,6.838,665685,0.003,2203.557,2062,2555,6.746,656660,0.004,2280.503,2166,2380,8.059,784493,0.003,2192.648,2074,2481,6.848,666565,0.005,2361.236,2040,3014,11.304,1100336
10,15DIV_double-sequential-ASX21_w1Channel-B.tif,0.003,2104.128,2042,2304,5.923,576531,0.002,2129.736,2049,2278,4.726,460023,0.003,2297.698,2036,2704,5.854,569829,0.003,2113.413,2026,2274,6.839,665725,0.003,2202.886,2064,2542,6.744,656460,0.004,2279.849,2165,2391,8.057,784268,0.003,2193.872,2074,2458,6.851,666937,0.005,2357.371,2041,2987,11.285,1098535
