Archivo,ROI,Frame_peak,Media_basal,Std_basal,Umbral,N_candidatos,N_eventos_pre_peak,Duracion_promedio_eventos,Duracion_maxima_eventos,Amplitud_promedio_eventos,Amplitud_maxima_eventos,Frame_primer_evento,Frame_ultimo_evento,Distancia_primer_evento_al_peak,Clase_futura
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI1,469,-3.342444511944686e-06,0.0001569957100086137,0.00027924983350356,212,16,13,51,0.002532873727097655,0.02715081454628765,80,468,389,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI10,106,-7.619602683256783e-06,0.0006726417954454728,0.001203135629118594,24,3,8,14,0.007693934922343916,0.01670474549403284,9,105,97,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI11,468,-2.52914383291901e-06,0.0002136742829455129,0.0003820845654690042,75,7,10.42857142857143,39,0.005620011296680127,0.02861808169267635,80,467,388,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI12,467,-5.22339223094895e-06,0.0002482143584361491,0.0004415624529541194,228,14,16.28571428571428,142,0.003457876628700859,0.02724358448595684,48,466,419,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI2,107,-1.243068476943937e-06,0.0003333981223208594,0.0005988735517006032,15,4,3.5,5,0.002125330828099327,0.005459050722727163,8,106,99,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI3,458,-7.650464866190306e-06,0.000585444355333683,0.001046149374734439,26,7,3.714285714285714,5,0.004479053586844591,0.01948221013079553,8,457,450,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI4,457,-2.094459020505016e-06,0.0002637918333873896,0.0004727308410767964,10,4,2.5,3,0.001541145000277277,0.004407372574396631,7,456,450,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI5,473,3.478247968407948e-06,0.0009385744517519248,0.001692912261121873,10,1,10,10,0.006821481016335458,0.006821481016335458,463,472,10,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI6,458,-6.578447256566292e-06,0.0003679731525533262,0.0006557732273394208,30,7,4.285714285714286,7,0.004182021097947509,0.01819246221234127,7,457,451,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI7,468,-3.659422475020631e-06,0.0003148119721791354,0.0005630021274474232,85,6,13.83333333333333,52,0.006303435835314643,0.02648510979081845,7,467,461,
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI9,458,-7.604137873854906e-06,0.0004103148938586153,0.0007309626710716526,42,5,8.2,27,0.003884235262427509,0.01124738551606112,7,457,451,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI1,268,-4.407585131496971e-07,0.0003164055398409722,0.0005690892132006003,11,1,9,9,0.01425314068715683,0.01425314068715683,259,267,9,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI2,273,3.58532591145464e-06,0.0003357644421674776,0.0006079613218129144,84,9,9.222222222222221,26,0.001691870527317488,0.00767751478616711,75,272,198,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI3,272,6.96258750885079e-06,0.0003631933437710396,0.000660710606296722,20,3,6.333333333333333,14,0.003235307165903896,0.007767557004715718,1,271,271,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI4,270,5.746605398515591e-06,0.0009208125508172223,0.001663209196869516,18,3,6,12,0.004074769722582361,0.007930118819084167,22,269,248,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI5,271,2.618105266664464e-06,0.0002351726557073297,0.000425928885539858,15,1,14,14,0.003761229616284864,0.003761229616284864,257,270,14,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI6,275,1.214938141435662e-07,0.0004146306331193621,0.0007464566334289954,16,1,15,15,0.007218831090563046,0.007218831090563046,260,274,15,
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI7,271,-2.266772448695343e-06,0.000207312564626659,0.0003708958438792908,18,3,5.333333333333333,10,0.007195798388275402,0.02045638946775284,75,270,196,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI1,151,-2.737254678633674e-06,0.005610389431383465,0.0100959637218116,4,1,4,4,0.6669205511711458,0.6669205511711458,147,150,4,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI10,145,-9.56437360695005e-06,0.002102151943371135,0.003774309124461093,6,2,3,4,0.03286365523449054,0.06087118400510894,7,144,138,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI11,150,-3.104947166768958e-06,0.005777445728056339,0.01039629736333464,6,1,6,6,0.7113483970200661,0.7113483970200661,144,149,6,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI12,143,-1.5228126827869e-05,0.002584129547329022,0.004636205058364371,7,2,2.5,3,0.04402729778518202,0.07975789144303248,80,142,63,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI13,151,-2.227896701353848e-05,0.004065445383432788,0.00729552272316548,9,2,4.5,7,0.03019070716769586,0.05229657179492045,9,150,142,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI14,143,-6.17474532433854e-06,0.002259761888668793,0.004061396654279488,6,2,3,3,0.02862769940253557,0.0514446670246484,7,142,136,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI15,150,-1.128699926849676e-06,0.004027128674287476,0.007247702913790607,6,2,3,4,0.1917054966849261,0.3759296936851915,1,149,149,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI2,151,-9.16557658471624e-06,0.008320465876963126,0.01496767300194891,5,1,5,5,0.7255314706548085,0.7255314706548085,146,150,5,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI3,150,-1.504467653305781e-05,0.008811730240715177,0.01584606975675426,9,2,4.5,6,0.1401682494460079,0.2584728290801417,16,149,134,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI4,150,4.825156037659208e-06,0.00246725805728106,0.004445889659143568,9,1,8,8,0.3292211223579193,0.3292211223579193,142,149,8,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI5,150,-1.470524861210175e-05,0.003877943067413487,0.006965592272732174,8,1,8,8,0.3716911560124495,0.3716911560124495,142,149,8,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI6,143,-5.771199309379238e-05,0.02572138606777346,0.04624078292889844,4,2,2,2,0.08932671080824617,0.1187933193875859,9,142,134,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI7,142,-9.712863759094488e-06,0.007305385373970039,0.01313998080938698,12,5,2.2,3,0.0353267359548972,0.1053935007222718,8,141,134,
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI9,150,-9.097739635792122e-06,0.004153365547838891,0.007466960246474211,6,1,6,6,0.465103372064981,0.465103372064981,144,149,6,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI1,3,0.003000213679666077,0.0002320056340362991,0.003417823820931415,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI10,161,5.793141674611859e-06,0.0005987697074931114,0.001083578615162212,64,2,31.5,61,0.0050912707614839,0.008979332475859279,97,160,64,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI2,228,1.364067391481973e-05,0.002459334227982637,0.004440442284283566,19,1,19,19,0.009341257482778434,0.009341257482778434,209,227,19,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI3,3,0.002575498964345051,0.0001665072447832855,0.002875212004954965,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI4,3,0.003698467883311293,0.0002944064139731187,0.004228399428462907,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI5,173,1.390055133448601e-05,0.0003895554249476712,0.0007151003162402942,87,2,43,84,0.008381086218188864,0.01585597080626766,85,172,88,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI6,3,0.001499046222791625,0.0001905186709880518,0.001841979830570119,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI7,3,0.001088271157392661,0.0001334372557171569,0.001328458217683543,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI9,150,-9.59826920918281e-06,0.001397487519873984,0.002505879266563989,6,1,6,6,0.04553952946460051,0.04553952946460051,144,149,6,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI1,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI10,137,-1.746941201402136e-05,0.001874678157769025,0.003356951271970224,3,1,2,2,0.06490533712574248,0.06490533712574248,135,136,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI11,10,0.0002464470549577306,0.0003285960732769243,0.0008379199868561943,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI12,137,-0.0001100240732671587,0.008510236390710363,0.0152084014300115,2,1,2,2,0.3485210564071419,0.3485210564071419,135,136,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI13,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI14,139,1.00269394285758e-06,0.0030500847526074,0.005491155248636179,4,1,4,4,0.2159649390816554,0.2159649390816554,135,138,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI15,139,2.182643617950803e-05,0.001213587482783294,0.002206283905189437,2,1,2,2,0.002957482102322332,0.002957482102322332,137,138,2,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI16,139,-0.0001637365440927382,0.0144645246179479,0.02587240776821348,5,1,4,4,1.337521942600822,1.337521942600822,135,138,4,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI17,31,0,0,0,0,0,0,0,0,0,,,,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI18,138,-2.019102004129717e-06,0.002865345323329946,0.005155602479989772,4,1,3,3,0.2944389484756437,0.2944389484756437,135,137,3,
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI19,142,-2.735244722300579e-06,0.001076535068540867,0.00193502787865126,2,1,2,2,0.002743450456512344,0.002743450456512344,140,141,2,
