Archivo,ROI,UMAP1,UMAP2,Media_basal,Std_basal,Umbral,N_eventos_pre_peak,Duracion_promedio_eventos,Amplitud_promedio_eventos,Amplitud_maxima_eventos
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,10.812667,0.0010432153,-3.342444511944686e-06,0.0001569957100086137,0.00027924983350356,16,13.0,0.002532873727097655,0.02715081454628765
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,10.699035,-0.6418547,-7.619602683256783e-06,0.0006726417954454728,0.001203135629118594,3,8.0,0.007693934922343916,0.01670474549403284
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.1460085,-0.037107483,-2.52914383291901e-06,0.0002136742829455129,0.0003820845654690042,7,10.42857142857143,0.005620011296680127,0.02861808169267635
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,10.907579,0.16623078,-5.22339223094895e-06,0.0002482143584361491,0.0004415624529541194,14,16.28571428571428,0.003457876628700859,0.02724358448595684
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,12.009817,-0.22405195,-1.243068476943937e-06,0.0003333981223208594,0.0005988735517006032,4,3.5,0.002125330828099327,0.005459050722727163
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.843288,-0.28883404,-7.650464866190306e-06,0.000585444355333683,0.001046149374734439,7,3.714285714285714,0.004479053586844591,0.01948221013079553
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.592853,0.17475587,-2.094459020505016e-06,0.0002637918333873896,0.0004727308410767964,4,2.5,0.001541145000277277,0.004407372574396631
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,9.422813,-0.69677836,3.478247968407948e-06,0.0009385744517519248,0.001692912261121873,1,10.0,0.006821481016335458,0.006821481016335458
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.807675,-0.018626899,-6.578447256566292e-06,0.0003679731525533262,0.0006557732273394208,7,4.285714285714286,0.004182021097947509,0.01819246221234127
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.33154,0.2429533,-3.659422475020631e-06,0.0003148119721791354,0.0005630021274474232,6,13.83333333333333,0.006303435835314643,0.02648510979081845
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,,11.270216,0.48739386,-7.604137873854906e-06,0.0004103148938586153,0.0007309626710716526,5,8.2,0.003884235262427509,0.01124738551606112
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,9.652287,-1.2843537,-4.407585131496971e-07,0.0003164055398409722,0.0005690892132006003,1,9.0,0.01425314068715683,0.01425314068715683
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,10.733533,-0.34685197,3.58532591145464e-06,0.0003357644421674776,0.0006079613218129144,9,9.222222222222221,0.001691870527317488,0.00767751478616711
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,11.122765,-0.21371439,6.96258750885079e-06,0.0003631933437710396,0.000660710606296722,3,6.333333333333333,0.003235307165903896,0.007767557004715718
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,11.54458,0.112665415,5.746605398515591e-06,0.0009208125508172223,0.001663209196869516,3,6.0,0.004074769722582361,0.007930118819084167
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,9.882194,-0.85894203,2.618105266664464e-06,0.0002351726557073297,0.000425928885539858,1,14.0,0.003761229616284864,0.003761229616284864
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,9.549024,-0.7435332,1.214938141435662e-07,0.0004146306331193621,0.0007464566334289954,1,15.0,0.007218831090563046,0.007218831090563046
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,,11.542626,-0.4170201,-2.266772448695343e-06,0.000207312564626659,0.0003708958438792908,3,5.333333333333333,0.007195798388275402,0.02045638946775284
14DIV_GCamp-NLS-jRGECO1a control21,,4.4488664,-2.5832798,-2.737254678633674e-06,0.005610389431383465,0.0100959637218116,1,4.0,0.6669205511711458,0.6669205511711458
14DIV_GCamp-NLS-jRGECO1a control21,,12.036638,-1.0324373,-9.56437360695005e-06,0.002102151943371135,0.003774309124461093,2,3.0,0.03286365523449054,0.06087118400510894
14DIV_GCamp-NLS-jRGECO1a control21,,4.152582,-2.4842205,-3.104947166768958e-06,0.005777445728056339,0.01039629736333464,1,6.0,0.7113483970200661,0.7113483970200661
14DIV_GCamp-NLS-jRGECO1a control21,,11.699052,-1.7125255,-1.5228126827869e-05,0.002584129547329022,0.004636205058364371,2,2.5,0.04402729778518202,0.07975789144303248
14DIV_GCamp-NLS-jRGECO1a control21,,11.728615,-1.0239149,-2.227896701353848e-05,0.004065445383432788,0.00729552272316548,2,4.5,0.03019070716769586,0.05229657179492045
14DIV_GCamp-NLS-jRGECO1a control21,,12.213413,-0.78196293,-6.17474532433854e-06,0.002259761888668793,0.004061396654279488,2,3.0,0.02862769940253557,0.0514446670246484
14DIV_GCamp-NLS-jRGECO1a control21,,12.673169,-0.9818921,-1.128699926849676e-06,0.004027128674287476,0.007247702913790607,2,3.0,0.1917054966849261,0.3759296936851915
14DIV_GCamp-NLS-jRGECO1a control21,,4.0447803,-2.9699285,-9.16557658471624e-06,0.008320465876963126,0.01496767300194891,1,5.0,0.7255314706548085,0.7255314706548085
14DIV_GCamp-NLS-jRGECO1a control21,,5.2457557,-3.1532714,-1.504467653305781e-05,0.008811730240715177,0.01584606975675426,2,4.5,0.1401682494460079,0.2584728290801417
14DIV_GCamp-NLS-jRGECO1a control21,,9.000502,-1.2264384,4.825156037659208e-06,0.00246725805728106,0.004445889659143568,1,8.0,0.3292211223579193,0.3292211223579193
14DIV_GCamp-NLS-jRGECO1a control21,,8.670544,-1.0325785,-1.470524861210175e-05,0.003877943067413487,0.006965592272732174,1,8.0,0.3716911560124495,0.3716911560124495
14DIV_GCamp-NLS-jRGECO1a control21,,4.7244644,-3.4480479,-5.771199309379238e-05,0.02572138606777346,0.04624078292889844,2,2.0,0.08932671080824617,0.1187933193875859
14DIV_GCamp-NLS-jRGECO1a control21,,12.413738,-0.32513112,-9.712863759094488e-06,0.007305385373970039,0.01313998080938698,5,2.2,0.0353267359548972,0.1053935007222718
14DIV_GCamp-NLS-jRGECO1a control21,,6.309397,-2.0782583,-9.097739635792122e-06,0.004153365547838891,0.007466960246474211,1,6.0,0.465103372064981,0.465103372064981
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,-5.8047094,-22.7442,0.003000213679666077,0.0002320056340362991,0.003417823820931415,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,10.065724,-0.51495755,5.793141674611859e-06,0.0005987697074931114,0.001083578615162212,2,31.5,0.0050912707614839,0.008979332475859279
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,9.679684,-1.0832269,1.364067391481973e-05,0.002459334227982637,0.004440442284283566,1,19.0,0.009341257482778434,0.009341257482778434
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,-5.6362886,-22.332428,0.002575498964345051,0.0001665072447832855,0.002875212004954965,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,-5.370248,-22.685642,0.003698467883311293,0.0002944064139731187,0.004228399428462907,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,10.017381,-0.2764035,1.390055133448601e-05,0.0003895554249476712,0.0007151003162402942,2,43.0,0.008381086218188864,0.01585597080626766
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,-5.9658914,-21.912434,0.001499046222791625,0.0001905186709880518,0.001841979830570119,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,-6.2292943,-21.565458,0.001088271157392661,0.0001334372557171569,0.001328458217683543,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,,9.0077305,-2.0201216,-9.59826920918281e-06,0.001397487519873984,0.002505879266563989,1,6.0,0.04553952946460051,0.04553952946460051
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.5292788,-20.672817,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,8.866255,-2.803081,-1.746941201402136e-05,0.001874678157769025,0.003356951271970224,1,2.0,0.06490533712574248,0.06490533712574248
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.7116227,-20.846563,0.0002464470549577306,0.0003285960732769243,0.0008379199868561943,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,4.601877,-3.1621842,-0.0001100240732671587,0.008510236390710363,0.0152084014300115,1,2.0,0.3485210564071419,0.3485210564071419
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.3279524,-20.949844,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,7.737644,-1.9181529,1.00269394285758e-06,0.0030500847526074,0.005491155248636179,1,4.0,0.2159649390816554,0.2159649390816554
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,9.298116,-3.0590937,2.182643617950803e-05,0.001213587482783294,0.002206283905189437,1,2.0,0.002957482102322332,0.002957482102322332
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,4.5163083,-2.9329827,-0.0001637365440927382,0.0144645246179479,0.02587240776821348,1,4.0,1.337521942600822,1.337521942600822
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.430773,-20.260529,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,7.5906777,-1.8374122,-2.019102004129717e-06,0.002865345323329946,0.005155602479989772,1,3.0,0.2944389484756437,0.2944389484756437
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,9.193055,-3.0392559,-2.735244722300579e-06,0.001076535068540867,0.00193502787865126,1,2.0,0.002743450456512344,0.002743450456512344
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,12.360668,-1.1981276,-5.179742808428343e-06,0.002875551732301821,0.005170813375334849,2,2.5,0.128053761935045,0.2504363013279654
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,4.0360537,-3.2796445,-3.757215561703738e-05,0.01354506137946213,0.02434353832741479,1,4.0,2.320869624620009,2.320869624620009
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.9252734,-21.075489,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,6.7962074,-2.3526201,-3.002092348361087e-06,0.004753153501020838,0.008552674209489146,1,3.0,0.2691788669668945,0.2691788669668945
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.944861,-22.500977,-4.856883823341902e-05,0.0009886685596124092,0.001731034569068918,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.8137033,-3.5591462,4.301608113170552e-05,0.02107399137182595,0.03797620055041842,1,3.0,1.87143525735661,1.87143525735661
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.2579284,-20.342773,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,5.519045,-2.3877954,3.752460486862684e-06,0.00484807867652322,0.00873029407822866,1,4.0,0.5242791614415755,0.5242791614415755
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,9.005647,-2.643195,3.250922449253875e-05,0.001559175288581592,0.002839024743939404,1,3.0,0.008078542286373759,0.008078542286373759
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.9334486,-3.3396735,-0.0001640064268280856,0.01719812934661722,0.03079262639708291,1,4.0,2.663956390969084,2.663956390969084
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.2563634,-20.755926,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.2038803,-22.661982,-0.0001039290656776771,0.0009664422015299012,0.001635666897076145,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,7.304514,-2.1379163,-1.92967107452482e-06,0.003766626479533319,0.00677799799208545,1,3.0,0.2527827870572885,0.2527827870572885
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,9.273856,-2.573764,4.859401321751267e-05,0.00160934973491671,0.002945423536067591,1,3.0,0.007953220163275885,0.007953220163275885
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.7109287,-3.3944685,2.907304238484223e-05,0.01674136665353722,0.03016353301875184,1,3.0,1.271266021971952,1.271266021971952
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-7.098218,-21.241476,0.0,0.0,0.0,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,5.9422317,-2.4379706,-6.664598664770886e-06,0.004992093133575392,0.008979103041770936,1,3.0,0.4297372292324642,0.4297372292324642
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.7159376,-22.816399,-5.976734203764658e-05,0.001587726307938653,0.00279814001225193,0,0.0,0.0,0.0
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,3.8966656,-2.5869894,-7.206727757541193e-05,0.01912210472233923,0.03434772122263521,1,4.0,2.683901833280669,2.683901833280669
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,,-6.7215858,-20.590902,0.0,0.0,0.0,0,0.0,0.0,0.0
