Archivo,ROI,UMAP1,UMAP2
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI1,10.812667,0.0010432153
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI10,10.699035,-0.6418547
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI11,11.1460085,-0.037107483
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI12,10.907579,0.16623078
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI2,12.009817,-0.22405195
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI3,11.843288,-0.28883404
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI4,11.592853,0.17475587
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI5,9.422813,-0.69677836
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI6,11.807675,-0.018626899
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI7,11.33154,0.2429533
14DIV_GCaMP6-NLS-NMDA_control 4_Channel,dF_F0_ROI9,11.270216,0.48739386
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI1,9.652287,-1.2843537
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI2,10.733533,-0.34685197
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI3,11.122765,-0.21371439
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI4,11.54458,0.112665415
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI5,9.882194,-0.85894203
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI6,9.549024,-0.7435332
14DIV_GCaMP6-NLS-NMDA_control2_Channel-B,dF_F0_ROI7,11.542626,-0.4170201
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI1,4.4488664,-2.5832798
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI10,12.036638,-1.0324373
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI11,4.152582,-2.4842205
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI12,11.699052,-1.7125255
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI13,11.728615,-1.0239149
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI14,12.213413,-0.78196293
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI15,12.673169,-0.9818921
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI2,4.0447803,-2.9699285
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI3,5.2457557,-3.1532714
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI4,9.000502,-1.2264384
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI5,8.670544,-1.0325785
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI6,4.7244644,-3.4480479
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI7,12.413738,-0.32513112
14DIV_GCamp-NLS-jRGECO1a control21,dF_F0_ROI9,6.309397,-2.0782583
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI1,-5.8047094,-22.7442
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI10,10.065724,-0.51495755
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI2,9.679684,-1.0832269
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI3,-5.6362886,-22.332428
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI4,-5.370248,-22.685642
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI5,10.017381,-0.2764035
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI6,-5.9658914,-21.912434
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI7,-6.2292943,-21.565458
14DIV_GCamp-NLS-jRGECO1aASX11_w1Channel-B,dF_F0_ROI9,9.0077305,-2.0201216
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI1,-7.5292788,-20.672817
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI10,8.866255,-2.803081
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI11,-6.7116227,-20.846563
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI12,4.601877,-3.1621842
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI13,-7.3279524,-20.949844
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI14,7.737644,-1.9181529
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI15,9.298116,-3.0590937
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI16,4.5163083,-2.9329827
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI17,-7.430773,-20.260529
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI18,7.5906777,-1.8374122
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI19,9.193055,-3.0392559
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI2,12.360668,-1.1981276
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI20,4.0360537,-3.2796445
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI21,-6.9252734,-21.075489
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI22,6.7962074,-2.3526201
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI23,-6.944861,-22.500977
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI24,3.8137033,-3.5591462
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI25,-7.2579284,-20.342773
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI26,5.519045,-2.3877954
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI27,9.005647,-2.643195
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI28,3.9334486,-3.3396735
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI29,-7.2563634,-20.755926
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI3,-7.2038803,-22.661982
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI30,7.304514,-2.1379163
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI31,9.273856,-2.573764
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI32,3.7109287,-3.3944685
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI33,-7.098218,-21.241476
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI34,5.9422317,-2.4379706
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI35,-6.7159376,-22.816399
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI36,3.8966656,-2.5869894
